order,is_symmetric,symmetry_ratio,max_element_order,min_element_order,mean_element_order,std_element_order,max_order_ratio,num_generators,generator_ratio,num_distinct_orders,order_entropy,diagonal_identity_count,trace_value,latin_square,row_uniformity,num_involutions,self_inverse_ratio,num_subgroup_orders,euler_phi_ratio,label,group_type
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.5,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
2.0,1.0,1.0,2.0,2.0,1.5,0.5,1.0,1.0,0.5,2.0,0.9999999997114609,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1,Z_2
